step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,,0.0,0.6953026056289673,0.6950445175170898,True,0.0007509244605898857,0.038649920374155045,3.879172800225206e-05,0.07422376424074173,0.0,0.0,0.0013886131346225739,0.0001
2,True,,,0.0,0.6968575119972229,0.6937407851219177,True,0.0037195594049990177,0.09758869558572769,0.00011119595728814602,0.08338657021522522,0.0,4.062266523163771e-09,0.001202449551783502,0.0002
3,True,,,0.0,0.7112054824829102,0.6941731572151184,True,0.00259561650454998,0.06144101917743683,3.7956266169203445e-05,0.079936183989048,0.0,2.3437788598812404e-08,0.0013664233265444636,0.00030000000000000003
4,True,,,0.0,0.6973951458930969,0.6937240362167358,True,0.001962004927918315,0.13273337483406067,3.958838351536542e-05,0.08505403250455856,0.0,7.604011642570185e-08,0.003085577627643943,0.0004
5,True,,,0.0,0.6981251835823059,0.6932870149612427,True,0.0025847353972494602,0.08106807619333267,0.00019980785145889968,0.08090367913246155,0.0,1.6315293294155708e-07,0.00137235876172781,0.0005
6,True,,,0.0,0.6819278597831726,0.6936599016189575,True,0.0057168081402778625,0.0771929994225502,8.122014696709812e-05,0.08179134130477905,0.0,3.3113613540081133e-07,0.0009348929743282497,0.0006000000000000001
7,True,,,0.0,0.6667553186416626,0.6934163570404053,True,0.00300284824334085,0.09529761224985123,7.319687574636191e-05,0.07935454696416855,0.0,5.939255061093718e-07,0.0009723443654365838,0.0007
8,True,,,0.0,0.6588881611824036,0.6946946382522583,True,0.0037417509593069553,0.06949655711650848,0.0001117923529818654,0.07680381834506989,0.0,9.66662469181756e-07,0.0017441537929698825,0.0008
9,True,,,0.0,0.6856207847595215,0.6932717561721802,True,0.00034155434696003795,0.05533026158809662,3.050354280276224e-05,0.07449768483638763,0.0,1.4662214198324364e-06,0.0015375068178400397,0.0009000000000000001
10,True,,,0.0,0.6815734505653381,0.6933935880661011,True,0.001676249084994197,0.049768462777137756,9.605279046809301e-05,0.07500256597995758,0.0,2.106877218466252e-06,0.0007898342446424067,0.001
11,True,,,0.0,0.6959759593009949,0.6935051679611206,True,0.0006828801124356687,0.0452122688293457,4.43972458015196e-05,0.07489052414894104,0.0,2.9055358936602715e-06,0.001379540772177279,0.001
12,True,,,0.0,0.6790561676025391,0.6929715275764465,True,0.001529354602098465,0.05986418575048447,5.2258965297369286e-05,0.07552594691514969,0.0,3.7078241348353913e-06,0.0011266760993748903,0.0009997196780178901
13,True,,,0.0,0.6755585670471191,0.6935762763023376,True,0.003350595710799098,0.06452684104442596,7.298390119103715e-05,0.07750515639781952,0.0,4.572844318317948e-06,0.0011127084726467729,0.0009988790613178436
14,True,,,0.0,0.6928240060806274,0.6929946541786194,True,0.0011054142378270626,0.07674507051706314,6.303591362666339e-05,0.078188456594944,0.0,5.450061962619657e-06,0.0016428736271336675,0.000997479197203592
15,True,,,0.0,0.6993221044540405,0.6930205821990967,True,0.0011521837441250682,0.08840698003768921,8.226895442930982e-05,0.08008969575166702,0.0,6.269532605074346e-06,0.0013816129649057984,0.0009955218297315045
16,True,,,0.0,0.6965067386627197,0.6936838626861572,True,0.0030286419205367565,0.0746617242693901,0.00010672766075003892,0.08035901188850403,0.0,7.030912911432097e-06,0.0009637803887017071,0.0009930093975377126
17,True,,,0.0,0.7169088125228882,0.6931874752044678,True,0.005208338610827923,0.11579300463199615,6.421917350962758e-05,0.08860703557729721,0.0,7.815265234967228e-06,0.001269537373445928,0.0009899450307998714
18,True,,,0.0,0.7150036692619324,0.6937569379806519,True,0.0018651229329407215,0.07838548719882965,0.00011355280730640516,0.08143123239278793,0.0,8.557155524613336e-06,0.0011683856137096882,0.0009863325473373496
19,True,,,0.0,0.7004963159561157,0.6935649514198303,True,0.0009280818048864603,0.06831902265548706,9.518566366750747e-05,0.07800008356571198,0.0,9.281404345529154e-06,0.0010704626329243183,0.0009821764478547008
20,True,,,0.0,0.6921976208686829,0.6928033828735352,True,0.0017020876985043287,0.05853262543678284,4.196550798951648e-05,0.07685913890600204,0.0,9.979893548006658e-06,0.0009924540063366294,0.0009774819103343458
21,True,,,0.0,0.6986814141273499,0.6930434703826904,True,0.0013142835814505816,0.06620459258556366,5.514979420695454e-05,0.07791329175233841,0.0,1.0670777555787936e-05,0.0012397501850500703,0.0009722547835854532
22,True,,,0.0,0.6791937351226807,0.6927750110626221,True,0.0032790275290608406,0.06809660792350769,8.11268255347386e-05,0.07817042618989944,0.0,1.1305131920380518e-05,0.0011383588425815105,0.0009665015799570495
23,True,,,0.0,0.6663718223571777,0.6925714015960693,True,0.00474199652671814,0.1340833604335785,0.00026345369406044483,0.08531454205513,0.0,1.1934193025808781e-05,0.003065940225496888,0.0009602294672244439
24,True,,,0.0,0.6983652114868164,0.6931021809577942,True,0.0010300867725163698,0.05468723922967911,0.00010358045983593911,0.07654261589050293,0.0,1.2501416676968802e-05,0.0010452399728819728,0.0009534462596590728
25,True,,,0.0,0.6875505447387695,0.6924855709075928,True,0.005624319426715374,0.07665194571018219,8.585624163970351e-05,0.08221641182899475,0.0,1.3094236237520818e-05,0.0009764853166416287,0.0009461604082928911
26,True,,,0.0,0.6937955617904663,0.6929879784584045,True,0.004420225974172354,0.1276055872440338,0.00010772779205581173,0.08677593618631363,0.0,1.3684079931408633e-05,0.0018460858846083283,0.0009383809903894379
27,True,,,0.0,0.6803003549575806,0.6933971047401428,True,0.0036437660455703735,0.04303237795829773,3.173355071339756e-05,0.07604064792394638,0.0,1.423438880010508e-05,0.0008742704521864653,0.0009301176981346969
28,True,,,0.0,0.6896709203720093,0.6917155981063843,True,0.008521839044988155,0.10144126415252686,5.036569928051904e-05,0.08773393929004669,0.0,1.4812771041761152e-05,0.0010509564308449626,0.00092138082656184
29,True,,,0.0,0.6989360451698303,0.692452073097229,True,0.0027313176542520523,0.0640491396188736,8.28413394629024e-05,0.07919567078351974,0.0,1.540443190606311e-05,0.0009321436518803239,0.0009121812607248966
30,True,,,0.0,0.705180287361145,0.6916828751564026,True,0.006235738750547171,0.10566636919975281,2.6129459001822397e-05,0.08737282454967499,0.0,1.601284930075053e-05,0.0013695599045604467,0.0009025304621373337
31,True,,,0.0,0.716921329498291,0.6930513978004456,True,0.00338561600074172,0.10939111560583115,4.211662962916307e-05,0.08610126376152039,0.0,1.667684227868449e-05,0.0012640185886994004,0.0008924404544924355
32,True,,,0.0,0.7037854194641113,0.6931511163711548,True,0.002060217782855034,0.061261966824531555,4.31383159593679e-05,0.07865140587091446,0.0,1.7362404832965694e-05,0.0009332665358670056,0.00088192380868328
33,True,,,0.0,0.7012621164321899,0.6935909986495972,True,0.0012735424097627401,0.054405756294727325,3.394095256226137e-05,0.07690839469432831,0.0,1.8055705368169583e-05,0.0009775410871952772,0.0008709936271409712
34,True,,,0.0,0.6758224964141846,0.6933498978614807,True,0.0008901804685592651,0.058887530118227005,5.505696753971279e-05,0.07447148114442825,0.0,1.8731581803876907e-05,0.0010941795771941543,0.000859663527510641
35,True,,,0.0,0.6654199957847595,0.693217396736145,True,0.0035296250134706497,0.03985075280070305,2.85500045720255e-05,0.07411399483680725,0.0,1.940429319802206e-05,0.0005644037737511098,0.0008479476256855603
36,True,,,0.0,0.692557692527771,0.6921599507331848,True,0.0028242780826985836,0.07713150978088379,4.757989518111572e-05,0.07988855987787247,0.0,2.006373688345775e-05,0.0009220903157256544,0.0008358605182204924
37,True,,,0.0,0.6886780261993408,0.6931053400039673,True,0.001649669837206602,0.05130589380860329,0.00011139725393150002,0.0758710652589798,0.0,2.0687166397692636e-05,0.0009015066316351295,0.0008234172641462046
38,True,,,0.0,0.6808103322982788,0.693402111530304,True,0.0032473828177899122,0.05058632045984268,6.614989251829684e-05,0.07651956379413605,0.0,2.1279458451317623e-05,0.0008846398559398949,0.0008106333662077901
39,True,,,0.0,0.7029527425765991,0.691509485244751,True,0.005639982409775257,0.0685768872499466,5.399295696406625e-05,0.08290114998817444,0.0,2.1870824639336206e-05,0.0007425168296322227,0.0007975247515501785
40,True,,,0.0,0.7055021524429321,0.6932845115661621,True,0.0005692372797057033,0.027552682906389236,0.0001039207199937664,0.07408279180526733,0.0,2.2433059712057002e-05,0.0011287934612482786,0.0007841077518748969
41,True,,,0.0,0.7120641469955444,0.6911580562591553,True,0.0048261056654155254,0.10869669169187546,3.9197446312755346e-05,0.08698081225156784,0.0,2.295617559866514e-05,0.002095456700772047,0.0007703990830928028
42,True,,,0.0,0.7029882669448853,0.69129478931427,True,0.003459560452029109,0.08942224830389023,8.080874249571934e-05,0.08286246657371521,0.0,2.343562118767295e-05,0.0011225378839299083,0.0007564158244981407
