step,applied,reason,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
1,True,,0.0010085918474942446,0.05507254973053932,0.00038959187804721296,0.014509540982544422,0.007214510813355446,0.0,0.00025174368056468666,0.01
2,True,,0.0006589448312297463,0.07543280720710754,0.00037837852141819894,0.013716314919292927,0.004757331684231758,0.0,0.0003552580892574042,0.01
3,True,,0.0025453779380768538,0.12267404794692993,0.0001161822146968916,0.03078239969909191,0.015737252309918404,0.0,0.000322546751704067,0.01
4,True,,0.0011292622657492757,0.041198693215847015,0.0004225808079354465,0.008670417591929436,0.002576124854385853,0.0,0.0002731292915996164,0.01
5,True,,0.0006324411369860172,0.040849313139915466,0.0013382643228396773,0.010244643315672874,0.002850741846486926,0.0,0.00024197364109568298,0.01
6,True,,0.002313222736120224,0.056062087416648865,0.0005848902510479093,0.023262806236743927,0.014173594303429127,0.0,0.00022304255980998278,0.01
7,True,,0.00216937018558383,0.07594949007034302,0.0017764465883374214,0.02917354553937912,0.015856333076953888,0.0,0.00034365736064501107,0.01
8,True,,0.0021767052821815014,0.03919880464673042,0.0007611441542394459,0.020804593339562416,0.013185719028115273,0.0,0.0002645901986397803,0.01
9,True,,0.003778505604714155,0.075375996530056,0.00021455409296322614,0.0405891127884388,0.028843898326158524,0.0,0.0003218207275494933,0.01
10,True,,0.0005141266155987978,0.04612461477518082,0.0005899356328882277,0.009803352877497673,0.0034968936815857887,0.0,0.0001344828779110685,0.01
11,True,,0.0009683453827165067,0.05604540929198265,0.0004980671219527721,0.013205588795244694,0.005636568181216717,0.0,0.00041314613190479577,0.01
12,True,,0.010282229632139206,0.1505293846130371,0.0006359392427839339,0.1128903180360794,0.08628326654434204,0.0,0.0005847478751093149,0.01
13,True,,0.0016140959924086928,0.05297614634037018,0.0009229538263753057,0.019619202241301537,0.010861583985388279,0.0,0.0003549632674548775,0.01
14,True,,0.0014468478038907051,0.05452689528465271,0.00016478201723657548,0.0175014641135931,0.01027236320078373,0.0,0.0001913823070935905,0.01
15,True,,0.007863919250667095,0.12619146704673767,0.00041854529990814626,0.06415633857250214,0.04283618554472923,0.0,0.00030766960117034614,0.01
16,True,,0.0009871904039755464,0.06106656417250633,0.0014545662561431527,0.017213895916938782,0.00721091590821743,0.0,0.00028353105881251395,0.01
17,True,,0.0016920054331421852,0.05409426987171173,0.0007697453256696463,0.018213218078017235,0.009572295472025871,0.0,0.0002544994931668043,0.01
18,True,,0.0007401145994663239,0.05272044613957405,0.0006147757521830499,0.01125616580247879,0.0040144543163478374,0.0,0.00020934866915922612,0.01
19,True,,0.0009528234368190169,0.06193377077579498,0.00023723022604826838,0.016925672069191933,0.009305011481046677,0.0,0.0004030228592455387,0.01
20,True,,0.007094521075487137,0.11708703637123108,0.00019641613471321762,0.07411978393793106,0.05492372810840607,0.0,0.0003998032188974321,0.01
21,True,,0.001348115736618638,0.04107145592570305,0.0004054983437526971,0.01576344668865204,0.00949718989431858,0.0,0.00020461385429371148,0.01
22,True,,0.0029331406112760305,0.1186690479516983,0.0007714186212979257,0.042579032480716705,0.026236150413751602,0.0,0.0003128139942418784,0.01
23,True,,0.004570465534925461,0.166192427277565,0.0009708715952001512,0.053875938057899475,0.030744489282369614,0.0,0.00042292114812880754,0.01
24,True,,0.00019832611724268645,0.021488510072231293,0.0005246751825325191,0.00408316170796752,0.0006866343319416046,0.0,0.00028110502171330154,0.01
25,True,,0.004794825799763203,0.12488323450088501,0.0003082066832575947,0.051954496651887894,0.03405493497848511,0.0,0.0002971482172142714,0.01
26,True,,0.0056213391944766045,0.12217532098293304,0.00017971200577449054,0.046400174498558044,0.028201881796121597,0.0,0.00031090108677744865,0.01
27,True,,0.0008497260278090835,0.07331014424562454,0.0006006908370181918,0.015195421874523163,0.005813299678266048,0.0,0.0002086465829052031,0.01
28,True,,0.007867926731705666,0.13007867336273193,0.0006636669277213514,0.10018903017044067,0.07798590511083603,0.0,0.0004499744682107121,0.01
29,True,,0.0005647835787385702,0.048794157803058624,0.0008873431943356991,0.010108722373843193,0.002889836672693491,0.0,0.00020897375361528248,0.01
30,True,,0.004124043509364128,0.09019594639539719,0.00019312053336761892,0.040098026394844055,0.026568148285150528,0.0,0.0002796008193399757,0.01
31,True,,0.0010277149267494678,0.04791049659252167,0.00012194659211672843,0.011096187867224216,0.005033529829233885,0.0,0.00012108307419111952,0.01
32,True,,0.01238200068473816,0.17786605656147003,0.0007315819966606796,0.10198743641376495,0.07035566121339798,0.0,0.0004402472695801407,0.01
33,True,,0.0014321915805339813,0.057868409901857376,0.0004171878390479833,0.02129669301211834,0.013243284076452255,0.0,0.00032569540780968964,0.01
34,True,,0.010608002543449402,0.20423218607902527,0.0004477754409890622,0.08396510779857635,0.05203833431005478,0.0,0.000383816339308396,0.01
35,True,,0.0009673332679085433,0.06734096258878708,9.481178858550265e-05,0.013362836092710495,0.005471783224493265,0.0,0.00018281790835317224,0.01
36,True,,0.0019985162653028965,0.10493291169404984,0.0005225334316492081,0.02953970804810524,0.0160028338432312,0.0,0.00028201358509249985,0.01
37,True,,0.0032997699454426765,0.07235174626111984,0.0016640189569443464,0.03878326714038849,0.024920286610722542,0.0,0.00037380337016656995,0.01
38,True,,0.0008796564070507884,0.03408350422978401,0.0006466441554948688,0.009739963337779045,0.004158668220043182,0.0,0.0001690042408881709,0.01
39,True,,0.0018649761332198977,0.1241629347205162,0.0022506974637508392,0.029991887509822845,0.011209223419427872,0.0,0.0003988913376815617,0.01
40,True,,0.0005963724106550217,0.049605727195739746,0.0008802639786154032,0.010916177183389664,0.0035987042356282473,0.0,0.0005378505447879434,0.01
41,True,,0.016878658905625343,0.19656415283679962,0.00018372063641436398,0.12886062264442444,0.09195811301469803,0.0,0.00038670384674333036,0.01
42,True,,0.001027764636091888,0.06356523931026459,0.0007022595382295549,0.016552984714508057,0.007764178328216076,0.0,0.00025833139079622924,0.01
43,True,,0.004905880428850651,0.09387706220149994,0.0005068072350695729,0.05009066313505173,0.034783460199832916,0.0,0.0002175221889046952,0.01
44,True,,0.0007480710628442466,0.03132319077849388,0.0008390670991502702,0.009429695084691048,0.0038711712695658207,0.0,0.00019235826039221138,0.01
45,True,,0.0018811319023370743,0.09521623700857162,0.001083490438759327,0.02635781094431877,0.012788074091076851,0.0,0.0002216649882029742,0.01
46,True,,0.005722779780626297,0.09173272550106049,0.00019919773330911994,0.047885894775390625,0.03259144723415375,0.0,0.0003089343663305044,0.01
47,True,,0.000659347977489233,0.03923354670405388,0.0005423990660347044,0.009758970700204372,0.0040914700366556644,0.0,0.00016921971109695733,0.01
48,True,,0.0050575630739331245,0.13955818116664886,0.0017626810586079955,0.06481429934501648,0.042275551706552505,0.0,0.00032368514803238213,0.01
49,True,,0.0003356380620971322,0.025761248543858528,0.000808857730589807,0.006224523298442364,0.001695045386441052,0.0,0.00015185202937573195,0.01
50,True,,0.002802929375320673,0.06677332520484924,0.0006270778831094503,0.029182547703385353,0.018448129296302795,0.0,0.00026644187164492905,0.01
51,True,,0.001308932900428772,0.05781559273600578,0.0002685708168428391,0.015061144717037678,0.007433510851114988,0.0,0.00018983626796398312,0.01
52,True,,0.0007036335300654173,0.02218707650899887,0.00021338125225156546,0.00837343093007803,0.005024327430874109,0.0,0.0001416911545675248,0.01
53,True,,0.001989114796742797,0.06786931306123734,0.00043749267933890224,0.024831708520650864,0.01518067717552185,0.0,0.00020188056805636734,0.01
54,True,,0.001066436292603612,0.04947440326213837,0.0009010728099383414,0.014262055046856403,0.006446032784879208,0.0,0.00016420846804976463,0.01
55,True,,0.005672677420079708,0.11650341004133224,0.0017480984097346663,0.04516983777284622,0.024350624531507492,0.0,0.0004818718880414963,0.01
56,True,,0.003873447421938181,0.11484348773956299,0.0006099891033954918,0.03440360724925995,0.017825832590460777,0.0,0.0003982668276876211,0.01
57,True,,0.0010367744835093617,0.06293319910764694,0.00027941091684624553,0.014573704451322556,0.006684788502752781,0.0,0.00016566181147936732,0.01
58,True,,0.0006606199312955141,0.019102489575743675,0.00018545976490713656,0.006063548848032951,0.0031217606738209724,0.0,0.0001548358122818172,0.01
59,True,,0.0022528362460434437,0.07044875621795654,0.0006960439495742321,0.02286745235323906,0.01217765361070633,0.0,0.0002313581353519112,0.01
60,True,,0.009108874946832657,0.14660361409187317,0.0007344826008193195,0.08535897731781006,0.06012077257037163,0.0,0.0004079995851498097,0.01
61,True,,0.002472661668434739,0.09881449490785599,0.0009432027582079172,0.03732210397720337,0.023081589490175247,0.0,0.0003646364784799516,0.01
62,True,,0.0014688906958326697,0.043040208518505096,0.00018923095194622874,0.01270416472107172,0.006552790757268667,0.0,0.00038234511157497764,0.01
63,True,,0.0025535626336932182,0.06996749341487885,0.00013603437400888652,0.01925899088382721,0.009436610154807568,0.0,0.0001663822476984933,0.01
64,True,,0.0006744215497747064,0.05759413540363312,0.0007982784300111234,0.01148797757923603,0.0034575858153402805,0.0,0.0002704802609514445,0.01
65,True,,0.005768277682363987,0.15419486165046692,0.00046083901543170214,0.05244702845811844,0.030337585136294365,0.0,0.00028304383158683777,0.01
66,True,,0.0042303577065467834,0.06419830024242401,0.0004824745701625943,0.04378078132867813,0.03216564282774925,0.0,0.00027295571635477245,0.01
67,True,,0.0006421632133424282,0.03377614542841911,0.00014469600864686072,0.0069221677258610725,0.002612997777760029,0.0,0.0002048299356829375,0.01
68,True,,0.0013068754924461246,0.04330912232398987,0.0006134975119493902,0.016743866726756096,0.009879084303975105,0.0,0.00020954047795385122,0.01
69,True,,0.002052007708698511,0.04376305639743805,0.0014967191964387894,0.021863887086510658,0.012442135252058506,0.0,0.00022837762662675232,0.01
70,True,,0.0003284832928329706,0.028958123177289963,0.0006242060335353017,0.005946356803178787,0.0014736494049429893,0.0,0.00018859301053453237,0.01
71,True,,0.0018915804103016853,0.05214755982160568,0.0017055523348972201,0.023368995636701584,0.012851554900407791,0.0,0.00036972295492887497,0.01
72,True,,0.0022750815842300653,0.07418626546859741,0.0007952997693791986,0.023666642606258392,0.01238233596086502,0.0,0.0002486742741893977,0.01
73,True,,0.0023786567617207766,0.08120156079530716,0.00016996268823277205,0.029887275770306587,0.0190485380589962,0.0,0.00021935549739282578,0.01
74,True,,0.0018975412240251899,0.05657804757356644,0.0006108322995714843,0.021217599511146545,0.01244058832526207,0.0,0.0001943258394021541,0.01
